ID,F_p,638 Red(Peak)
1,21,21
2,9,9
3,59,59
4,22,22
5,44,44
6,26,26
7,21,21
8,46,46
9,50,50
10,29,29
11,29,29
12,19,19
13,10,10
14,13,13
15,27,27
16,41,41
17,76,76
18,0,0
19,21,21
20,0,0
21,60,60
22,17,17
23,1,1
24,42,42
25,48,48
26,16,16
27,39,39
28,11,11
29,4,4
30,51,51
31,72,72
32,8,8
33,151,151
34,24,24
35,0,0
36,0,0
37,45,45
38,43,43
39,36,36
40,27,27
41,45,45
42,46,46
43,15,15
44,14,14
45,26,26
46,44,44
47,6,6
48,73,73
49,56,56
50,14,14
51,33,33
52,32,32
53,17,17
54,100,100
55,8,8
56,22,22
57,49,49
58,43,43
59,62,62
60,2,2
61,16,16
62,21,21
63,56,56
64,37,37
65,40,40
66,0,0
67,67,67
68,54,54
69,29,29
70,16,16
71,78,78
72,0,0
73,8,8
74,0,0
75,44,44
76,24,24
77,52,52
78,32,32
79,89,89
80,31,31
81,61,61
82,0,0
83,41,41
84,15,15
85,25,25
86,40,40
87,104,104
88,17,17
89,61,61
90,4,4
91,30,30
92,41,41
93,0,0
94,44,44
95,0,0
96,106,106
97,24,24
98,9,9
99,0,0
100,20,20
101,98,98
102,13,13
103,50,50
104,48,48
105,41,41
106,30,30
107,13,13
108,26,26
109,20,20
110,26,26
111,124,124
112,2,2
113,15,15
114,32,32
115,46,46
116,0,0
117,22,22
118,33,33
119,11,11
120,49,49
121,15,15
122,68,68
123,76,76
124,65,65
125,35,35
126,34,34
127,6,6
128,15,15
129,39,39
130,94,94
131,131,131
132,39,39
133,9,9
134,37,37
135,5,5
136,49,49
137,21,21
138,6,6
139,21,21
140,234,234
141,15,15
142,32,32
143,34,34
144,21,21
145,38,38
146,3,3
147,63,63
148,35,35
149,37,37
150,17,17
151,46,46
152,32,32
153,30,30
154,6,6
155,16,16
156,23,23
157,5,5
158,25,25
159,64,64
160,4,4
161,46,46
162,66,66
163,13,13
164,23,23
165,0,0
166,54,54
167,21,21
168,13,13
169,9,9
170,16,16
171,10,10
172,14,14
173,38,38
174,36,36
175,17,17
176,101,101
177,110,110
178,15,15
179,48,48
180,60,60
181,74,74
182,30,30
183,28,28
184,40,40
185,31,31
186,0,0
187,13,13
188,0,0
189,83,83
190,29,29
191,39,39
192,22,22
193,15,15
194,45,45
195,26,26
196,13,13
197,5,5
198,30,30
199,28,28
200,0,0
201,13,13
202,22,22
203,26,26
204,44,44
205,89,89
206,40,40
207,6,6
208,13,13
209,22,22
210,4,4
211,17,17
212,99,99
213,44,44
214,77,77
215,44,44
216,24,24
217,24,24
218,28,28
219,16,16
220,19,19
221,24,24
222,17,17
223,8,8
224,58,58
225,10,10
226,17,17
227,6,6
228,11,11
229,0,0
230,57,57
231,46,46
232,108,108
233,12,12
234,0,0
235,11,11
236,24,24
237,16,16
238,8,8
239,30,30
240,40,40
241,28,28
242,16,16
243,16,16
244,38,38
245,26,26
246,27,27
247,20,20
248,7,7
249,18,18
250,38,38
251,0,0
252,22,22
253,0,0
254,78,78
255,85,85
256,37,37
257,68,68
258,76,76
259,16,16
260,71,71
261,25,25
262,4,4
263,21,21
264,44,44
265,34,34
266,33,33
267,53,53
268,41,41
269,48,48
270,18,18
271,36,36
272,28,28
273,29,29
274,6,6
275,51,51
276,12,12
277,0,0
278,11,11
279,8,8
280,18,18
281,19,19
282,7,7
283,37,37
284,49,49
285,24,24
286,25,25
287,21,21
288,29,29
289,13,13
290,0,0
291,64,64
292,78,78
293,17,17
294,37,37
295,22,22
296,14,14
297,43,43
298,58,58
299,45,45
300,21,21
301,47,47
302,12,12
303,29,29
304,54,54
305,109,109
306,20,20
307,22,22
308,61,61
309,33,33
310,49,49
311,104,104
312,12,12
313,31,31
314,13,13
315,6,6
316,48,48
317,24,24
318,69,69
319,6,6
320,7,7
321,17,17
322,24,24
323,21,21
324,8,8
325,6,6
326,48,48
327,47,47
328,13,13
329,0,0
330,8,8
331,50,50
332,52,52
333,1,1
334,21,21
335,23,23
336,31,31
337,63,63
338,17,17
339,49,49
340,40,40
341,32,32
342,33,33
343,47,47
344,18,18
345,22,22
346,84,84
347,11,11
348,49,49
349,0,0
350,27,27
351,17,17
352,45,45
353,16,16
354,38,38
355,16,16
356,50,50
357,43,43
358,7,7
359,7,7
360,30,30
361,46,46
362,25,25
363,16,16
364,40,40
365,20,20
366,19,19
367,33,33
368,10,10
369,44,44
370,4,4
371,85,85
372,13,13
373,10,10
374,26,26
375,17,17
376,14,14
377,10,10
378,30,30
379,72,72
380,13,13
381,39,39
382,32,32
383,15,15
384,45,45
385,58,58
386,65,65
387,11,11
388,0,0
389,488,488
390,21,21
391,25,25
392,20,20
393,18,18
394,12,12
395,124,124
396,42,42
397,38,38
398,25,25
399,6,6
400,64,64
401,44,44
402,1,1
403,29,29
404,6,6
405,96,96
406,37,37
407,41,41
408,36,36
409,90,90
410,41,41
411,52,52
412,32,32
413,27,27
414,47,47
415,24,24
416,16,16
417,100,100
418,1,1
419,43,43
420,58,58
421,26,26
422,68,68
423,18,18
424,61,61
425,17,17
426,36,36
427,41,41
428,33,33
429,7,7
430,27,27
431,15,15
432,25,25
433,8,8
434,10,10
435,40,40
436,15,15
437,6,6
438,76,76
439,30,30
440,8,8
441,26,26
442,13,13
443,83,83
444,31,31
445,0,0
446,8,8
447,46,46
448,14,14
449,44,44
450,13,13
451,41,41
452,8,8
453,81,81
454,18,18
455,25,25
456,12,12
457,42,42
458,17,17
459,17,17
460,49,49
461,11,11
462,32,32
463,39,39
464,45,45
465,0,0
466,0,0
467,91,91
468,0,0
469,17,17
470,24,24
471,45,45
472,43,43
473,10,10
474,24,24
475,33,33
476,40,40
477,14,14
478,12,12
479,26,26
480,20,20
481,20,20
482,11,11
483,49,49
484,18,18
485,36,36
486,44,44
487,32,32
488,20,20
489,19,19
490,0,0
491,54,54
492,17,17
493,28,28
494,37,37
495,26,26
496,23,23
497,5,5
498,47,47
499,14,14
500,17,17
501,14,14
502,47,47
503,26,26
504,21,21
505,18,18
506,0,0
507,4,4
508,30,30
509,0,0
510,34,34
511,20,20
512,83,83
513,22,22
514,50,50
515,33,33
516,38,38
517,62,62
518,1,1
519,23,23
520,2,2
521,27,27
522,30,30
523,45,45
524,30,30
525,50,50
526,0,0
527,33,33
528,113,113
529,62,62
530,17,17
531,9,9
532,89,89
533,24,24
534,26,26
535,103,103
536,32,32
537,30,30
538,40,40
539,31,31
540,13,13
541,9,9
542,51,51
543,45,45
544,16,16
545,22,22
546,4,4
547,63,63
548,20,20
549,25,25
550,0,0
551,43,43
552,29,29
553,10,10
554,2,2
555,6,6
556,26,26
557,13,13
558,39,39
559,52,52
560,36,36
561,79,79
562,0,0
563,0,0
564,40,40
565,31,31
566,45,45
567,71,71
568,0,0
569,9,9
570,47,47
571,1,1
572,41,41
573,16,16
574,41,41
575,0,0
576,17,17
577,9,9
578,3,3
579,38,38
580,33,33
581,0,0
582,0,0
583,47,47
584,0,0
585,30,30
586,18,18
587,29,29
588,2,2
589,22,22
590,34,34
591,2,2
592,24,24
593,19,19
594,56,56
595,16,16
596,14,14
597,19,19
598,113,113
599,4,4
600,33,33
601,11,11
602,45,45
603,52,52
604,0,0
605,54,54
606,0,0
607,16,16
608,16,16
609,31,31
610,29,29
611,11,11
612,24,24
613,28,28
614,12,12
615,26,26
616,0,0
617,11,11
618,96,96
619,0,0
620,116,116
621,9,9
622,12,12
623,25,25
624,29,29
625,1,1
626,87,87
627,22,22
628,37,37
629,102,102
630,39,39
631,10,10
632,27,27
633,3,3
634,28,28
635,32,32
636,79,79
637,44,44
638,26,26
639,33,33
640,21,21
641,36,36
642,14,14
643,7,7
644,0,0
645,9,9
646,28,28
647,43,43
648,24,24
649,45,45
650,49,49
651,27,27
652,29,29
653,14,14
654,66,66
655,183,183
656,18,18
657,28,28
658,51,51
659,27,27
660,35,35
661,3,3
662,14,14
663,18,18
664,0,0
665,44,44
666,17,17
667,62,62
668,5,5
669,16,16
670,2,2
671,46,46
672,12,12
673,54,54
674,0,0
675,60,60
676,16,16
677,8,8
678,50,50
679,9,9
680,43,43
681,19,19
682,68,68
683,39,39
684,30,30
685,114,114
686,106,106
687,10,10
688,115,115
689,23,23
690,26,26
691,40,40
692,0,0
693,20,20
694,29,29
695,54,54
696,22,22
697,81,81
698,17,17
699,5,5
700,62,62
701,5,5
702,52,52
703,39,39
704,17,17
705,15,15
706,11,11
707,8,8
708,10,10
709,9,9
710,27,27
711,188,188
712,48,48
713,33,33
714,36,36
715,42,42
716,4,4
717,11,11
718,28,28
719,125,125
720,12,12
721,35,35
722,48,48
723,92,92
724,2,2
725,22,22
726,14,14
727,63,63
728,34,34
729,4,4
730,8,8
731,19,19
732,9,9
733,29,29
734,29,29
735,76,76
736,23,23
737,43,43
738,40,40
739,15,15
740,30,30
741,48,48
742,39,39
743,33,33
744,0,0
745,28,28
746,6,6
747,39,39
748,55,55
749,28,28
750,1,1
751,6,6
752,69,69
753,13,13
754,37,37
755,21,21
756,14,14
757,129,129
758,25,25
759,43,43
760,20,20
761,18,18
762,0,0
763,27,27
764,18,18
765,19,19
766,23,23
767,103,103
768,18,18
769,34,34
770,30,30
771,44,44
772,22,22
773,52,52
774,17,17
775,1,1
776,28,28
777,2,2
778,14,14
779,30,30
780,30,30
781,50,50
782,57,57
783,45,45
784,6,6
785,36,36
786,11,11
787,18,18
788,41,41
789,67,67
790,30,30
791,18,18
792,18,18
793,22,22
794,64,64
795,66,66
796,9,9
797,6,6
798,17,17
799,21,21
800,43,43
801,14,14
802,2,2
803,18,18
804,15,15
805,40,40
806,126,126
807,144,144
808,36,36
809,14,14
810,30,30
811,53,53
812,43,43
813,41,41
814,51,51
815,36,36
816,0,0
817,15,15
818,27,27
819,32,32
820,0,0
821,32,32
822,5,5
823,13,13
824,27,27
825,23,23
826,30,30
827,37,37
828,47,47
829,50,50
830,77,77
831,8,8
832,24,24
833,26,26
834,52,52
835,32,32
836,24,24
837,41,41
838,0,0
839,27,27
840,28,28
841,59,59
842,23,23
843,38,38
844,37,37
845,14,14
846,34,34
847,22,22
848,43,43
849,15,15
850,82,82
851,36,36
852,9,9
853,107,107
854,4,4
855,59,59
856,15,15
857,19,19
858,22,22
859,32,32
860,40,40
861,1,1
862,7,7
863,15,15
864,54,54
865,8,8
866,26,26
867,7,7
868,12,12
869,15,15
870,7,7
871,42,42
872,21,21
873,29,29
874,0,0
875,0,0
876,15,15
877,83,83
878,28,28
879,43,43
880,0,0
881,16,16
882,41,41
883,7,7
884,23,23
885,33,33
886,32,32
887,18,18
888,22,22
889,28,28
890,211,211
891,35,35
892,0,0
893,42,42
894,5,5
895,26,26
896,0,0
897,11,11
898,41,41
899,0,0
900,202,202
901,0,0
902,37,37
903,35,35
904,79,79
905,26,26
906,218,218
907,22,22
908,34,34
909,12,12
910,12,12
911,28,28
912,24,24
913,58,58
914,8,8
915,32,32
916,27,27
917,3,3
918,67,67
919,50,50
920,51,51
921,10,10
922,8,8
923,32,32
924,15,15
925,24,24
926,3,3
927,26,26
928,30,30
929,0,0
930,22,22
931,25,25
932,42,42
933,58,58
934,17,17
935,3,3
936,19,19
937,14,14
938,11,11
939,62,62
940,54,54
941,59,59
942,18,18
943,54,54
944,38,38
945,0,0
946,18,18
947,19,19
